Title,Alt Name (across docs),Tagline (ID),Quote 1,Quote 2,Quote 3,Description 1,Description 2,Description 3,Signature Moves,Starter Pack / Gear,Rarity Tier,Rarity Probability,Playlist Genre,Playlist (Top 10),Notes / Gaps
❤️ The Health Runner,The Running For Health Runner (doc2/3/4 name),Doctor Approved,"""Future me will thank today's me.""","""Health first, medals later.""","""Every run is a deposit in my future self.""",You don't chase medals. You chase a healthier life.,Consistency over intensity — treats every kilometer like preventive medicine.,"No PRs to brag about, just blood pressure numbers to be proud of.",Tracks heart rate; Loves recovery; Never skips stretching; Reads nutrition labels,Apple Watch; Daily Trainer; Healthy Meal; Stretching,Common,~35–40%,"Positive, Happy, Uplifting",American Authors - Best Day of My Life; OneRepublic - Good Life; Pharrell Williams - Happy; Katrina & The Waves - Walking on Sunshine; Coldplay - Viva La Vida; Owl City & Carly Rae Jepsen - Good Time; Sia - Unstoppable; Andy Grammer - Keep Your Head Up; Rachel Platten - Fight Song; Imagine Dragons - On Top of the World,Naming mismatch: doc1 = 'The Health Runner'; doc2/3/4 = 'The Running For Health Runner'.
😌 Mood Booster Runner,The Mood Boosting Runner (doc2/3/4 name),Healing Era,"""Bad mood? Time to disappear for 5K.""","""Cheaper than therapy, faster than a nap.""","""Running until the noise in my head quiets down.""",Running is your reset button. Every kilometer deletes today's stress.,"Music in the ears, worries on the pavement — every session is an emotional reset.","Not training for a race, training for a better mood by dinner time.",Runs after bad days; Playlist > Pace; Sunset enjoyer; Endorphin addict,Spotify Playlist; Evening Run; Comfortable Shoes; Phone Holder,Common,~35–40%,"Lofi, Indie, Chill Pop",Rex Orange County - Sunflower; Dayglow - Can I Call You Tonight?; HONNE - Day 1; beabadoobee - Coffee; Laufey - From The Start; NIKI - Every Summertime; Clairo - Sofia; Peach Tree Rascals - Mariposa; Boy Pablo - Everytime; Men I Trust - Show Me How,Naming mismatch: doc1 = 'Mood Booster Runner'; doc2/3/4 = 'The Mood Boosting Runner'.
🐺 The Solo Runner,,Main Character,"""Me, myself, and my playlist.""","""Company is optional. Quiet is mandatory.""","""The road doesn't ask questions.""","Running is your personal therapy session. No drama, no waiting, no small talk — just you and the road.","Runs alone by choice, not circumstance, and wouldn't have it any other way.",Finds more peace in an empty route than in any conversation.,Runs alone; Rarely talks; Loves quiet routes; Disappears after finishing,Noise Cancelling Earbuds; Old Reliable Shoes; Night Run; Empty Route,Common,~35–40%,"Alternative, Indie, Emotional",Tame Impala - The Less I Know The Better; Arctic Monkeys - Do I Wanna Know?; Joji - Slow Dancing in the Dark; Cigarettes After Sex - Apocalypse; The 1975 - Somebody Else; Phoebe Bridgers - Kyoto; Beach House - Space Song; Lord Huron - The Night We Met; Frank Ocean - Ivy; Bon Iver - Skinny Love,
⚖️ Weight Loss Runner,,Calorie Hunter,"""Burger malam? Gapapa, tadi udah 8K.""","""Every step is a calorie negotiation.""","""Started for the scale, stayed for the high.""","Running started as a weight-loss journey, but somehow became a lifestyle.","Tracks calories as closely as pace, and celebrates every pound like a podium finish.",What began as damage control turned into a genuine love for moving.,Always checks calories; Loves seeing progress; Happy every PR; Celebrates consistency,Oversized Tee; Daily Trainer; Banana; Health App,Common,~35–40%,"Workout, EDM, Gym",Eminem - Till I Collapse; Survivor - Eye of the Tiger; David Guetta - Titanium; Alan Walker - Faded; Martin Garrix - Animals; Dua Lipa - Physical; The Script - Hall of Fame; Imagine Dragons - Believer; Avicii - Levels; Zedd - Stay The Night,
🫂 The Club Runner,,Anak Komunitas,"""Lari sendirian? Gak seru bro.""","""Squad pace beats personal pace.""","""Running is better with witnesses.""","The social butterfly of the running world — every run somehow turns into coffee, breakfast, or planning the next race.","Knows the whole group's PBs, birthdays, and coffee orders.","Shows up for the run, stays for the community.",Knows everyone's name; Always joins Sunday long runs; Has multiple community jerseys; Never skips group photos,Community Jersey; Daily Trainer; Garmin; Running Club; Morning; Community Challenge,Uncommon,~25–30%,"Pop, EDM, Feel Good, Festival",Avicii - The Nights; Coldplay - Adventure of a Lifetime; OneRepublic - I Lived; Macklemore - Can't Hold Us; Walk The Moon - Shut Up and Dance; Kygo - Firestone; Swedish House Mafia - Don't You Worry Child; Empire of the Sun - Walking on a Dream; Calvin Harris - Feel So Close; Fitz and the Tantrums - HandClap,
🌅 The Early Bird,The Early Morning Runner (doc2/3 name),Jam 5 Udah Pace,"""Alarm jam 4:30? Easy.""","""Done before the city wakes up.""","""Sunrise is basically my finish line.""","While everyone else is sleeping, you've already finished 10K and uploaded it to Strava.","Trades sleep-ins for solitude and empty streets, every single day.",Has never once hit snooze on a run day.,Loves sunrise; Runs before work; Highly disciplined; Probably drinks black coffee,Compression Tee; Daily Trainer; Garmin; Sunrise; No Music,Uncommon,~25–30%,"Indie, Chill, Morning Energy",ODESZA - A Moment Apart; Bon Iver - Holocene; Novo Amor - Anchor; Coldplay - Paradise; Petit Biscuit - Sunset Lover; M83 - Midnight City; Explosions in the Sky - Your Hand In Mine; Lord Huron - Ends of the Earth; Tycho - Awake; Hollow Coves - Coastline,Naming mismatch: doc1 = 'The Early Bird'; doc2/3 = 'The Early Morning Runner'.
🌧️ The Start'n'Stop Runner,,Seasonal Athlete,"""Besok mulai lagi.""","""New Year, new shoes, same story.""","""Motivation is a seasonal subscription.""","When motivation hits, you're unstoppable. When it disappears, Netflix.",Owns three unused training plans and one very dusty pair of shoes.,Restarts more often than anyone — and somehow that's still a kind of consistency.,New Year Resolution; Stops during rainy season; Comes back stronger; Repeats annually,"Dusty Shoes; ""Starting Monday""; Big Dreams",Uncommon,~25–30%,"Comfort, Comeback",Rachel Platten - Stand By You; The Script - Superheroes; Coldplay - Fix You; OneRepublic - Rescue Me; Owl City - Fireflies; Keane - Somewhere Only We Know; Kodaline - High Hopes; Train - Drive By; James Bay - Hold Back The River; Andy Grammer - Don't Give Up On Me,Rarity tier not defined in any source doc — assigned 'Uncommon' by Claude so it has a reachable scoring path (see Gaps sheet).
😭 The Reluctant Runner,Possibly 'The Weekend Warrior' in doc5's output list (see Gaps),Dipaksa Keadaan,"""Aku juga gak tau kenapa aku di sini.""","""Every kilometer is a personal grievance.""","""Finishes complaining the whole way, finishes anyway.""",You don't love running. But somehow... you keep coming back.,Complains at kilometer one and is secretly proud at the finish line.,The reward meal is doing more of the motivating than the medal is.,Complains every kilometer; Still finishes; Secretly improving; Low-key proud,"Random Event Shirt; Cheapest Shoes; ""Capek bro.""; Reward Meal",Uncommon,~25–30%,"Funny, Easy Listening","Smash Mouth - All Star; Rick Astley - Never Gonna Give You Up; WALK THE MOON - Anna Sun; AJR - Bang!; Weezer - Island in the Sun; Maroon 5 - Sugar; Bruno Mars - Treasure; Panic! At The Disco - High Hopes; Owl City - Good Time; Earth, Wind & Fire - September","Rarity tier not defined in doc2/3 — assigned 'Uncommon' by Claude. doc5 lists '😴 The Weekend Warrior' as a replacement output for this archetype — possible rename, not reconciled here (see Gaps sheet)."
🌍 The Anywhere Runner,The Anytime / Anyplace Runner (doc2/3 name),Touch Grass,"""Vacation = New Running Route.""","""New city, new PB attempt.""","""My suitcase always has room for running shoes.""",Every city has a route. Every trip includes running shoes.,Turns every business trip and vacation into a scouting mission for scenic routes.,Has more stamps in a running app than in a passport.,Runs while traveling; Loves exploring; New route every week; Google Maps athlete,Backpack; Trail Shoes; Maps; Scenic Route,Rare,~15–20%,"Travel, Indie, Adventure",Of Monsters and Men - Mountain Sound; Lord Huron - Meet Me in the Woods; Hollow Coves - The Woods; Coldplay - A Head Full of Dreams; Vance Joy - Riptide; Edward Sharpe & The Magnetic Zeros - Home; Milky Chance - Stolen Dance; Mumford & Sons - I Will Wait; Imagine Dragons - It's Time; The Lumineers - Ho Hey,Naming mismatch: doc1 = 'The Anywhere Runner'; doc2/3 = 'The Anytime / Anyplace Runner'.
✨ The Trendy Runner,,Fit Check Dulu,"""Pace nanti aja, outfit dulu.""","""Fit check before finish line check.""","""If it's not aesthetic, did the run even happen?""",Running is also fashion. Matching socks matter.,Plans the outfit before planning the route.,The pace is negotiable; the color coordination is not.,Color coordinated; Limited edition shoes; Loves aesthetic cafes; Story every run,Carbon Shoes; Running Cap; Selfie; Expensive Sunglasses,Rare,~15–20%,"TikTok, Pop, Fashion",Sabrina Carpenter - Espresso; Dua Lipa - Houdini; Charli XCX - 360; Doja Cat - Paint The Town Red; Harry Styles - As It Was; The Weeknd - Blinding Lights; PinkPantheress - Boy's a Liar Pt. 2; Billie Eilish - Birds of a Feather; Tate McRae - Greedy; Troye Sivan - Rush,
🏅 The Medal Hunter,The Bling Runner (doc2/3/4 name),Bling Collector,"""No medal? Didn't happen.""","""Sign-up button is my cardio.""","""My wall has run out of hooks.""",Your wall is slowly turning into a medal museum.,Registers for races the way other people collect stamps.,"A T-shirt is nice, but the medal is the whole point.",Signs up every weekend; Loves race expos; Medal > T-shirt; Event addict,Medal Rack; Race Calendar; Early Bird Ticket; Race Shoes,Rare,~15–20%,"Victory, Celebration",Queen - We Are The Champions; Kanye West - Champion; Flo Rida - Good Feeling; Avicii - Wake Me Up; Black Eyed Peas - I Gotta Feeling; Imagine Dragons - Thunder; Macklemore - Glorious; Coldplay - A Sky Full of Stars; Fitz and the Tantrums - The Walker; OneRepublic - Counting Stars,Naming mismatch: doc1 = 'The Medal Hunter'; doc2/3/4 = 'The Bling Runner'.
🏔️ The Long Runner,,Distance Addict,"""5K is just warming up.""","""Ask me about my next ultra.""","""Distance is the whole hobby.""",You don't count kilometers. You count adventures.,Treats a half marathon as a light Sunday activity.,"Always eyeing the next distance up, no matter how far the current one already is.",Loves LSD; HM? Easy.; Marathon? Why not.; Ultra? Tempting...,Running Vest; Energy Gel; Garmin; Premium Trainer,Epic,~8–10%,"Epic, Progressive, Endurance",Hans Zimmer - Time; M83 - Outro; Woodkid - Run Boy Run; Swedish House Mafia - Greyhound; The Score - Legend; Imagine Dragons - Warriors; Muse - Uprising; Kanye West - Power; Linkin Park - Numb; The Glitch Mob - We Can Make the World Stop,
🚀 The Ambitious Late Bloomer,Called 'Ambitious Runner' in some doc5 rows (see Gaps),Gas Sekalian,"""Baru mulai... target marathon.""","""Started last month, registered for everything.""","""Why ease in when you can dive in?""",You discovered running recently... and immediately signed up for three races.,"Zero experience, maximum ambition, and a training plan that's a little too optimistic.",Went from couch to marathon-curious in record time.,Watches race vlogs; Buys too much gear; Wants every PB; Dreams big,Carbon Shoes; Garmin; Training Plan; Race Calendar,Epic,~8–10%,"Motivational, Rock, Hype",The Score - Unstoppable; Imagine Dragons - Whatever It Takes; Fall Out Boy - Centuries; Skillet - Hero; Eminem - Lose Yourself; Linkin Park - Faint; Foo Fighters - The Pretender; Queen - Don't Stop Me Now; AC/DC - Thunderstruck; Bon Jovi - It's My Life,"Naming mismatch inside doc5 itself: Shoes/Gear steps call it 'Ambitious Runner', Goal step and output list call it 'Ambitious Late Bloomer'. Treated as the same archetype here."
📸 The Strava CEO,,Bonus Rare,"""If it's not uploaded, it didn't happen.""","""Kudos or it didn't count.""","""The caption takes longer than the cool-down.""",Posts every run within moments of finishing.,Writes a small essay in the caption for a 3K jog.,Checks kudos more often than pace.,Uploads before stretching; Writes essays in captions; Kudos addict,Phone Mount; Strava Premium Subscription; Selfie Stick; Draft Captions Folder,Legendary,~3–5%,"Upbeat, Pop, Shareable",Dua Lipa - Levitating; Lizzo - Good as Hell; Bruno Mars - 24K Magic; Calvin Harris - Summer; Kesha - TiK ToK; Ariana Grande - 7 rings; Justin Timberlake - Can't Stop The Feeling!; Katy Perry - Firework; Meghan Trainor - All About That Bass; Jonas Brothers - Sucker,Starter pack and playlist were blank in the source docs — generated by Claude to complete the profile.
💀 The Pace Demon,,Bonus Rare,"""Easy run 4:20/km.""","""There's no such thing as a rest day pace.""","""Zone 2 is a rumor I've heard about.""",Claims it's Zone 2. Nobody believes them.,Every 'easy jog' quietly turns into a time trial.,Has never once let a stranger pass without a mental battle.,Calls sub-4:30 pace 'easy'; Denies the training data; 'Zone 2' in name only; Out-sprints strangers by accident,Multiple GPS Watches; Compression Socks; Competitive Streak; Denial,Legendary,~3–5%,"Hardcore, Drum & Bass, Aggressive",The Prodigy - Breathe; Pendulum - Propane Nightmares; Skrillex - Bangarang; Rage Against the Machine - Killing in the Name; Metallica - Enter Sandman; Chase & Status - Blind Faith; The Chemical Brothers - Galvanize; DJ Snake - Turn Down for What; Noisia - Tommy's Theme; Justice - Genesis,"Signature moves, starter pack, and playlist were blank in the source docs — generated by Claude. Minor stat mismatch: doc1 says 4:20/km, doc2 says 4:15/km with HR 186."
🎧 Playlist Merchant,,Bonus Rare,"""Every kilometer deserves its own track.""","""17 playlists and counting.""","""My library has a genre for every mood and mile.""",Has 17 running playlists. Changes music every kilometer.,Spends more time curating the soundtrack than actually running.,Believes the right song can add thirty seconds to your pace.,Builds a new playlist for every run type; Skips songs mid-stride; Renames playlists constantly; Judges runs by the soundtrack,17 Curated Playlists; Noise-Cancelling Earbuds; Backup Earbuds; Playlist-Naming Skills,Legendary,~3–5%,"Everything — All Genres, Constantly Rotating",Daft Punk - Harder Better Faster Stronger; Tame Impala - Let It Happen; Fred Again.. - Delilah; Rihanna - Diamonds; ODESZA - Line of Sight; Metallica - Master of Puppets; Bad Bunny - Titi Me Pregunto; Glass Animals - Heat Waves; Kendrick Lamar - HUMBLE; Fleetwood Mac - Dreams,"Rarity tier, starter pack, and playlist were blank in the source docs — generated by Claude. Ironic gap: the 'playlist' archetype is the one archetype with no playlist defined in doc4."
☕ Coffee Run Enjoyer,,Bonus Rare,"""The run is just the appetizer.""","""5K there, 3 hours at the café.""","""Running is the excuse, coffee is the destination.""","Runs 5K, then spends three hours at the café afterward.","The warm-down is longer than the workout, and that's the point.",Would happily run further if it meant a better café at the end.,Picks routes by café location; Orders before stretching; Treats the run as a warm-up for brunch; Never in a rush,Reusable Cup; Café Loyalty Card; Post-Run Pastry; Zero Sense of Urgency,Legendary,~3–5%,"Acoustic, Café, Laid-back","Jack Johnson - Better Together; Norah Jones - Come Away With Me; Vance Joy - Mess Is Mine; José González - Heartbeats; Sufjan Stevens - Mystery of Love; The Paper Kites - Bloom; Iron & Wine - Flightless Bird, American Mouth; Ben Howard - Keep Your Head Up; City and Colour - Comin' Home; Fleet Foxes - Mykonos","Rarity tier, signature moves, starter pack, and playlist were blank in the source docs — generated by Claude."
🛒 Gear Acquisition Syndrome,,Bonus Rare,"""Nine shoes, fourteen kilometers a week.""","""The gear closet is more impressive than the training log.""","""I collect equipment. Technically, I also run.""","Owns 9 shoes, 4 watches, 12 jerseys. Weekly mileage: 14 km.",Buys the gear for the runner they're planning to become.,Shopping-cart PRs outnumber actual running PRs.,"Unboxes gear on camera; Compares specs endlessly; Buys before trying; Runs occasionally, shops constantly",9 Pairs of Shoes; 4 GPS Watches; 12 Jerseys; Unopened Boxes,Legendary,~3–5%,"Unboxing, Gear Review, Hype",Migos - Bad and Boujee; Cardi B - Money; The Weeknd - Save Your Tears; Travis Scott - SICKO MODE; Post Malone - Wow.; Doja Cat - Say So; Dua Lipa - New Rules; 21 Savage - Bank Account; Drake - Started From the Bottom; Kanye West - All of the Lights,"Playlist was blank in the source docs — generated by Claude. Stat mismatch: doc1 says 9 shoes/4 watches/12 jerseys/14km, doc2 says 11 shoes/5 watches/14 jerseys/18km."
🗿 Silent Assassin,,Bonus Rare,"""Never posts. Never talks.""","""You'll only hear about the podium after it happens.""","""No watch, no caption, no warning.""","Never posts, never talks, randomly wins age group — nobody knows where they came from.","Shows up quietly, runs fast, disappears before anyone can ask their name.",The results sheet is the only place they exist.,Shows up unannounced; Wins without celebrating; Leaves before the photos; Never explains the time,Blank Race Bib; No Visible Watch; An Air of Mystery; A Podium Spot,Legendary,~3–5%,"Unknown, Silent, Mysterious",Hans Zimmer - Mountains; Max Richter - On The Nature of Daylight; Ólafur Arnalds - Near Light; Jon Hopkins - Immunity; Sigur Rós - Svefn-g-englar; Brian Eno - An Ending (Ascent); Nils Frahm - Says; Ludovico Einaudi - Experience; Kiasmos - Blurred EP; Emancipator - Soon It Will Be Cold Enough,Starter pack and playlist were blank in the source docs — generated by Claude.
🎯 PB Hunter,,Bonus Rare,"""Easy run."" (Average HR: 187.)","""Every run is secretly a time trial.""","""There's no such thing as a casual pace.""",Every run somehow becomes a race.,"Checks the split at every single kilometer marker, no exceptions.",Can't hear the word 'recovery' without hearing 'opportunity.',"Turns easy runs into races; Checks splits every 100m; Sprints the last km, always; Refuses to accept a true recovery day",Racing Flats; Heart-Rate Chest Strap; Stopwatch Mentality; Zero Chill,Legendary,~3–5%,"High-Tempo, Techno, Race Pace",The Prodigy - Firestarter; Justice - D.A.N.C.E.; Daft Punk - Aerodynamic; deadmau5 - Ghosts 'n' Stuff; Swedish House Mafia - One; Zedd - Clarity; Knife Party - Internet Friends; Porter Robinson - Language; Eric Prydz - Opus; Above & Beyond - Sun & Moon,"Rarity tier, signature moves, starter pack, and playlist were blank in the source docs — generated by Claude."
🌮 Reward Runner,,Bonus Rare,"""Burn 500, eat 1,500 — balance achieved.""","""I run so the reward meal tastes earned.""","""Perfect math: distance equals dessert.""","Burns 500 calories, eats 1,500 immediately afterward. Perfect balance.",Plans the post-run meal before planning the route.,Running is just the entry fee for the food that follows.,Runs to earn food; Plans meals around mileage; Never feels guilty; Perfectly balances burn and reward,Snack Bag; Food-Delivery App; A Well-Earned Appetite; Zero Regrets,Legendary,~3–5%,"Feel-Good, Food Anthem, Fun",Bruno Mars - Uptown Funk; Justin Timberlake - Can't Stop The Feeling!; Lizzo - Juice; Mark Ronson ft. Bruno Mars - 24K Magic; Katy Perry - Feeling Myself; Pharrell Williams - Freedom; Meghan Trainor - Better When I'm Dancin'; Jason Mraz - I'm Yours; Andy Grammer - Fine By Me; OneRepublic - Feel Again,"Rarity tier, signature moves, starter pack, and playlist were blank in the source docs — generated by Claude."